directed,source,target,type,year
True,article:2002_875,theme:transient_overvoltages_from_capacitor_bank_switching:a5fdd11a,Was_Associated_To,2002
True,article:2002_875,theme:emtp_microtran_digital_simulation:2827d7b9,Was_Associated_To,2002
True,article:2002_875,theme:sensitivity_analysis_evaluates_load_line_and_surge_arrester_representa:c72018c2,Was_Associated_To,2002
True,author:franklin_m_p_pamplona:1ef58934,theme:transient_overvoltages_from_capacitor_bank_switching:a5fdd11a,Has_Expertise_In,2002
True,author:franklin_m_p_pamplona:1ef58934,theme:emtp_microtran_digital_simulation:2827d7b9,Has_Expertise_In,2002
True,author:franklin_m_p_pamplona:1ef58934,theme:sensitivity_analysis_evaluates_load_line_and_surge_arrester_representa:c72018c2,Has_Expertise_In,2002
True,author:damasio_fernandes_jr:0ccd6ae1,theme:transient_overvoltages_from_capacitor_bank_switching:a5fdd11a,Has_Expertise_In,2002
True,author:damasio_fernandes_jr:0ccd6ae1,theme:emtp_microtran_digital_simulation:2827d7b9,Has_Expertise_In,2002
True,author:damasio_fernandes_jr:0ccd6ae1,theme:sensitivity_analysis_evaluates_load_line_and_surge_arrester_representa:c72018c2,Has_Expertise_In,2002
True,author:benemar_a_souza:3a528735,theme:transient_overvoltages_from_capacitor_bank_switching:a5fdd11a,Has_Expertise_In,2002
True,author:benemar_a_souza:3a528735,theme:emtp_microtran_digital_simulation:2827d7b9,Has_Expertise_In,2002
True,author:benemar_a_souza:3a528735,theme:sensitivity_analysis_evaluates_load_line_and_surge_arrester_representa:c72018c2,Has_Expertise_In,2002
True,author:washington_l_a_neves:db4db963,theme:transient_overvoltages_from_capacitor_bank_switching:a5fdd11a,Has_Expertise_In,2002
True,author:washington_l_a_neves:db4db963,theme:emtp_microtran_digital_simulation:2827d7b9,Has_Expertise_In,2002
True,author:washington_l_a_neves:db4db963,theme:sensitivity_analysis_evaluates_load_line_and_surge_arrester_representa:c72018c2,Has_Expertise_In,2002
True,article:2002_875,keyword:shunt_capacitor_energization:d241259d,Contains,2002
True,article:2002_875,keyword:capacitor_switching:ae308d03,Contains,2002
True,article:2002_875,keyword:switching_surges:bb75ada9,Contains,2002
True,article:2002_875,keyword:shunt_capacitor_banks:315e8a87,Contains,2002
True,article:2002_875,keyword:transient_overvoltages:22716d5d,Contains,2002
True,article:2002_875,keyword:emtp:8eb97281,Contains,2002
True,article:2002_877,year:2002,Was_Published_In,2002
True,author:bismarck_c_castillo:7f36b3ee,article:2002_877,Was_Author_of,2002
True,author:jose_c_de_oliveira:11cd13bf,article:2002_877,Was_Author_of,2002
True,author:antonio_carlos_delaiba:bc2aad1b,article:2002_877,Was_Author_of,2002
True,author:bismarck_c_castillo:7f36b3ee,affiliation:laboratorio_de_qualidade_depto_de_engenharia_eletrica_departamento_de_:4db8de62,Is_Linked_to,2002
True,author:bismarck_c_castillo:7f36b3ee,affiliation:faculdade_de_engenharia_eletrica_faculdade_de_arquitetura_engenharia_e:1d555d1e,Is_Linked_to,2002
True,author:bismarck_c_castillo:7f36b3ee,affiliation:universidade_federal_de_uberlandia_universidade_federal_de_mato_grosso:413c432f,Is_Linked_to,2002
True,author:jose_c_de_oliveira:11cd13bf,affiliation:laboratorio_de_qualidade_depto_de_engenharia_eletrica_departamento_de_:4db8de62,Is_Linked_to,2002
True,author:jose_c_de_oliveira:11cd13bf,affiliation:faculdade_de_engenharia_eletrica_faculdade_de_arquitetura_engenharia_e:1d555d1e,Is_Linked_to,2002
True,author:jose_c_de_oliveira:11cd13bf,affiliation:universidade_federal_de_uberlandia_universidade_federal_de_mato_grosso:413c432f,Is_Linked_to,2002
True,author:antonio_carlos_delaiba:bc2aad1b,affiliation:laboratorio_de_qualidade_depto_de_engenharia_eletrica_departamento_de_:4db8de62,Is_Linked_to,2002
True,author:antonio_carlos_delaiba:bc2aad1b,affiliation:faculdade_de_engenharia_eletrica_faculdade_de_arquitetura_engenharia_e:1d555d1e,Is_Linked_to,2002
True,author:antonio_carlos_delaiba:bc2aad1b,affiliation:universidade_federal_de_uberlandia_universidade_federal_de_mato_grosso:413c432f,Is_Linked_to,2002
False,author:bismarck_c_castillo:7f36b3ee,author:jose_c_de_oliveira:11cd13bf,Collaborates,2002
False,author:bismarck_c_castillo:7f36b3ee,author:antonio_carlos_delaiba:bc2aad1b,Collaborates,2002
False,author:jose_c_de_oliveira:11cd13bf,author:antonio_carlos_delaiba:bc2aad1b,Collaborates,2002
False,affiliation:laboratorio_de_qualidade_depto_de_engenharia_eletrica_departamento_de_:4db8de62,affiliation:faculdade_de_engenharia_eletrica_faculdade_de_arquitetura_engenharia_e:1d555d1e,Collaborates,2002
False,affiliation:laboratorio_de_qualidade_depto_de_engenharia_eletrica_departamento_de_:4db8de62,affiliation:universidade_federal_de_uberlandia_universidade_federal_de_mato_grosso:413c432f,Collaborates,2002
False,affiliation:faculdade_de_engenharia_eletrica_faculdade_de_arquitetura_engenharia_e:1d555d1e,affiliation:universidade_federal_de_uberlandia_universidade_federal_de_mato_grosso:413c432f,Collaborates,2002
True,article:2002_877,theme:residential_air_conditioner_sensitivity_to_supply_power_quality:ca792f4a,Was_Associated_To,2002
True,article:2002_877,theme:asymmetrical_two_phase_induction_motor_model:2a614520,Was_Associated_To,2002
True,article:2002_877,theme:massive_use_and_degraded_supply_make_air_conditioner_study_important:854f5867,Was_Associated_To,2002
True,author:bismarck_c_castillo:7f36b3ee,theme:residential_air_conditioner_sensitivity_to_supply_power_quality:ca792f4a,Has_Expertise_In,2002
True,author:bismarck_c_castillo:7f36b3ee,theme:asymmetrical_two_phase_induction_motor_model:2a614520,Has_Expertise_In,2002
True,author:bismarck_c_castillo:7f36b3ee,theme:massive_use_and_degraded_supply_make_air_conditioner_study_important:854f5867,Has_Expertise_In,2002
True,author:jose_c_de_oliveira:11cd13bf,theme:residential_air_conditioner_sensitivity_to_supply_power_quality:ca792f4a,Has_Expertise_In,2002
